name,value,year,lastValue,rank
Coca-Cola,72537,2018.1,72537,1
Microsoft,70196,2018.1,70196,2
IBM,53183,2018.1,53183,3
Intel,39048,2018.1,39048,4
GE,38127,2018.1,38127,5
Ford,36368,2018.1,36368,6
Disney,33553,2018.1,33553,7
McDonald's,27859,2018.1,27859,8
Mercedes-Benz,21104,2018.1,21104,9
HP,20572,2018.1,20572,10
Cisco,20067,2018.1,20067,11
Toyota,18823,2018.1,18823,12
Citi,18809,2018.1,18809,13
Gillette,17358,2018.1,17358,14
Sony,16409,2018.1,16409,15
American Express,16122,2018.1,16122,16
Honda,15244,2018.1,15244,17
NESCAFÉ,13680,2018.1,13680,18
BMW,12969,2018.1,12969,19
Budweiser,10684,2018.1,10684,20
Nike,8015,2018.1,8015,21
Volkswagen,7834,2018.1,7834,22
Kellogg's,7357,2018.1,7357,23
Louis Vuitton,6887,2018.1,6887,24
Pepsi,6636,2018.1,6636,25
Apple,6594,2018.1,6594,26
SAP,6135,2018.1,6135,27
IKEA,6031,2018.1,6031,28
Philips,5481,2018.1,5481,29
Samsung,5223,2018.1,5223,30
Gucci,5149,2018.1,5149,31
Amazon,4528,2018.1,4528,32
Colgate,4417,2018.1,4417,33
Chanel,4141,2018.1,4141,34
adidas,3791,2018.1,3791,35
Panasonic,3734,2018.1,3734,36
Shell,2786,2018.1,2786,37
Heineken,2218,2018.1,2218,38
Johnnie Walker,1541,2018.1,1541,39
Jack Daniel's,1480,2018.1,1480,40
Pampers,1400,2018.1,1400,41
Starbucks,1329,2018.1,1329,42
3M,NA,2018.1,NA,43
Accenture,NA,2018.1,NA,44
Adobe,NA,2018.1,NA,45
Allianz,NA,2018.1,NA,46
Audi,NA,2018.1,NA,47
AXA,NA,2018.1,NA,48
Banco Santander,NA,2018.1,NA,49
Burberry,NA,2018.1,NA,50
Canon,NA,2018.1,NA,51
Cartier,NA,2018.1,NA,52
Caterpillar,NA,2018.1,NA,53
Corona,NA,2018.1,NA,54
Danone,NA,2018.1,NA,55
DHL,NA,2018.1,NA,56
Dior,NA,2018.1,NA,57
Discovery,NA,2018.1,NA,58
eBay,NA,2018.1,NA,59
Facebook,NA,2018.1,NA,60
FedEx,NA,2018.1,NA,61
Ferrari,NA,2018.1,NA,62
Goldman Sachs,NA,2018.1,NA,63
Google,NA,2018.1,NA,64
H&M,NA,2018.1,NA,65
Harley-Davidson,NA,2018.1,NA,66
Hennessy,NA,2018.1,NA,67
Hermès,NA,2018.1,NA,68
Hewlett Packard Enterprise,NA,2018.1,NA,69
HSBC,NA,2018.1,NA,70
Huawei,NA,2018.1,NA,71
Hyundai,NA,2018.1,NA,72
J.P. Morgan,NA,2018.1,NA,73
John Deere,NA,2018.1,NA,74
Johnson & Johnson,NA,2018.1,NA,75
KFC,NA,2018.1,NA,76
Kia,NA,2018.1,NA,77
L'Oréal,NA,2018.1,NA,78
Land Rover,NA,2018.1,NA,79
LEGO,NA,2018.1,NA,80
Mastercard,NA,2018.1,NA,81
MINI,NA,2018.1,NA,82
Morgan Stanley,NA,2018.1,NA,83
Nestlé,NA,2018.1,NA,84
Netflix,NA,2018.1,NA,85
Nintendo,NA,2018.1,NA,86
Nissan,NA,2018.1,NA,87
Oracle,NA,2018.1,NA,88
PayPal,NA,2018.1,NA,89
Porsche,NA,2018.1,NA,90
Prada,NA,2018.1,NA,91
Salesforce.com,NA,2018.1,NA,92
Siemens,NA,2018.1,NA,93
Spotify,NA,2018.1,NA,94
Sprite,NA,2018.1,NA,95
Subaru,NA,2018.1,NA,96
Tiffany & Co.,NA,2018.1,NA,97
UPS,NA,2018.1,NA,98
Visa,NA,2018.1,NA,99
Zara,NA,2018.1,NA,100
Coca-Cola,72177.8000000003,2018.2,72537,1
Microsoft,69683.2000000005,2018.2,70196,2
IBM,53139.9,2018.2,53183,3
Intel,38609.7000000004,2018.2,39048,4
GE,38553.8999999996,2018.2,38127,5
Ford,35740.4000000006,2018.2,36368,6
Disney,33456.8000000001,2018.2,33553,7
McDonald's,27602.0000000002,2018.2,27859,8
Mercedes-Benz,21166.3999999999,2018.2,21104,9
HP,20313.1000000002,2018.2,20572,10
Cisco,19781.2000000003,2018.2,20067,11
Citi,18828.6,2018.2,18809,12
Toyota,18798.5,2018.2,18823,13
Gillette,17152.0000000002,2018.2,17358,14
Sony,16268.6000000001,2018.2,16409,15
American Express,16201.6999999999,2018.2,16122,16
Honda,15183.4000000001,2018.2,15244,17
NESCAFÉ,13637,2018.2,13680,18
BMW,13057.8999999999,2018.2,12969,19
Budweiser,10699.4,2018.2,10684,20
Nike,7972.40000000004,2018.2,8015,21
Volkswagen,7784.40000000005,2018.2,7834,22
Kellogg's,7321.80000000003,2018.2,7357,23
Louis Vuitton,6903.59999999998,2018.2,6887,24
Pepsi,6593.80000000004,2018.2,6636,25
Apple,6481.0000000001,2018.2,6594,26
SAP,6152.19999999998,2018.2,6135,27
IKEA,6028.4,2018.2,6031,28
Philips,5422.90000000005,2018.2,5481,29
Samsung,5338.09999999989,2018.2,5223,30
Gucci,5170.39999999998,2018.2,5149,31
Colgate,4432.49999999999,2018.2,4417,32
Amazon,4388.20000000013,2018.2,4528,33
Chanel,4153.39999999999,2018.2,4141,34
adidas,3776.90000000001,2018.2,3791,35
Panasonic,3709.60000000002,2018.2,3734,36
Shell,2791.79999999999,2018.2,2786,37
Heineken,2222.8,2018.2,2218,38
Johnnie Walker,1551.79999999999,2018.2,1541,39
Jack Daniel's,1490.29999999999,2018.2,1480,40
Pampers,1401,2018.2,1400,41
Starbucks,1371.79999999996,2018.2,1329,42
3M,NA,2018.2,NA,43
Accenture,NA,2018.2,NA,44
Adobe,NA,2018.2,NA,45
Allianz,NA,2018.2,NA,46
Audi,NA,2018.2,NA,47
AXA,NA,2018.2,NA,48
Banco Santander,NA,2018.2,NA,49
Burberry,NA,2018.2,NA,50
Canon,NA,2018.2,NA,51
Cartier,NA,2018.2,NA,52
Caterpillar,NA,2018.2,NA,53
Corona,NA,2018.2,NA,54
Danone,NA,2018.2,NA,55
DHL,NA,2018.2,NA,56
Dior,NA,2018.2,NA,57
Discovery,NA,2018.2,NA,58
eBay,NA,2018.2,NA,59
Facebook,NA,2018.2,NA,60
FedEx,NA,2018.2,NA,61
Ferrari,NA,2018.2,NA,62
Goldman Sachs,NA,2018.2,NA,63
Google,NA,2018.2,NA,64
H&M,NA,2018.2,NA,65
Harley-Davidson,NA,2018.2,NA,66
Hennessy,NA,2018.2,NA,67
Hermès,NA,2018.2,NA,68
Hewlett Packard Enterprise,NA,2018.2,NA,69
HSBC,NA,2018.2,NA,70
Huawei,NA,2018.2,NA,71
Hyundai,NA,2018.2,NA,72
J.P. Morgan,NA,2018.2,NA,73
John Deere,NA,2018.2,NA,74
Johnson & Johnson,NA,2018.2,NA,75
KFC,NA,2018.2,NA,76
Kia,NA,2018.2,NA,77
L'Oréal,NA,2018.2,NA,78
Land Rover,NA,2018.2,NA,79
LEGO,NA,2018.2,NA,80
Mastercard,NA,2018.2,NA,81
MINI,NA,2018.2,NA,82
Morgan Stanley,NA,2018.2,NA,83
Nestlé,NA,2018.2,NA,84
Netflix,NA,2018.2,NA,85
Nintendo,NA,2018.2,NA,86
Nissan,NA,2018.2,NA,87
Oracle,NA,2018.2,NA,88
PayPal,NA,2018.2,NA,89
Porsche,NA,2018.2,NA,90
Prada,NA,2018.2,NA,91
Salesforce.com,NA,2018.2,NA,92
Siemens,NA,2018.2,NA,93
Spotify,NA,2018.2,NA,94
Sprite,NA,2018.2,NA,95
Subaru,NA,2018.2,NA,96
Tiffany & Co.,NA,2018.2,NA,97
UPS,NA,2018.2,NA,98
Visa,NA,2018.2,NA,99
Zara,NA,2018.2,NA,100
Apple,184154,2017,183550.500000001,1
Google,141703,2017,140857.900000001,2
Microsoft,79999,2017,79278.6000000007,3
Coca-Cola,69733,2017,70069.8999999997,4
Amazon,64796,2017,63350.2000000013,5
Samsung,56249,2017,55804.9000000004,6
Toyota,50291,2017,50619.8999999997,7
Facebook,48188,2017,46628.5000000014,8
Mercedes-Benz,47829,2017,47395.1000000004,9
IBM,46829,2017,47396.0999999995,10
GE,44208,2017,44100.2000000001,11
McDonald's,41533,2017,41317.8000000002,12
BMW,41521,2017,41522.4,13
Disney,40772,2017,40573.8000000002,14
Intel,39459,2017,39208.3000000002,15
Cisco,31930,2017,31831.8000000001,16
Oracle,27466,2017,27374.6000000001,17
Nike,27021,2017,26822.3000000002,18
Louis Vuitton,22919,2017,23026.8999999999,19
Honda,22696,2017,22637.0000000001,20
SAP,22635,2017,22500.8000000001,21
Pepsi,20491,2017,20468.4,22
H&M,20488,2017,20707.2999999998,23
Zara,18573,2017,18392.3000000002,24
IKEA,18472,2017,18408.2000000001,25
Gillette,18200,2017,18374.9999999998,26
American Express,17787,2017,17844.0999999999,27
Pampers,16416,2017,16387.8,28
